study_id,n_g1,min_g1,q1_g1,median_g1,q3_g1,max_g1,mean_g1,sd_g1,n_g2,min_g2,q1_g2,median_g2,q3_g2,max_g2,mean_g2,sd_g2
Adelaide_2000,42,NA,8,15,22,NA,NA,NA,44,NA,17.3,30,48.5,NA,NA,NA
Copenhagen_2009,31,NA,16,18,21,NA,NA,NA,30,NA,12,16,21,NA,NA,NA
