"Method","N","ntotal","Estimate","SE","z_ci_lb","z_ci_ub","z_p_value","t_ci_lb","t_ci_ub","t_p_value"
"DiVE",8,875,-5.69142857142857,1.26898826066614,-8.17864556233421,-3.20421158052294,7.29095632492932e-06,-8.69210898758627,-2.69074815527087,0.00284908019518561
"QE--RE",2,147,-5.91747758745167,8.48001578057959,-22.538003105719,10.7030479308156,0.485293238207863,-113.666294261488,101.831339086585,0.612134534260038
