I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,-0.333,2.105,-0.960,8.516,0.944,0.125,0.949,0.130
0%,QE-RE,-0.397,2.110,9.105,4.467,0.954,0.132,0.964,0.138
0%,QE-FE,-0.372,2.110,-3.976,0.245,0.943,0.124,0.955,0.130
25%,DiVE,-0.156,2.922,-0.120,9.811,0.942,0.149,0.954,0.156
25%,QE-RE,-0.280,2.875,0.988,6.706,0.949,0.149,0.960,0.156
25%,QE-FE,-0.242,2.965,-32.185,10.418,0.900,0.124,0.915,0.130
50%,DiVE,0.128,5.230,-0.062,11.886,0.932,0.187,0.941,0.196
50%,QE-RE,0.112,4.882,0.297,7.055,0.937,0.183,0.945,0.191
50%,QE-FE,0.149,5.276,-57.211,32.774,0.769,0.124,0.790,0.130
75%,DiVE,-0.309,9.682,-0.294,13.022,0.946,0.272,0.956,0.284
75%,QE-RE,-0.674,8.534,0.145,7.348,0.948,0.257,0.955,0.268
75%,QE-FE,-0.545,9.640,-79.742,63.603,0.640,0.124,0.657,0.130
