I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.080,2.121,-0.251,6.718,0.933,0.073,0.943,0.076
0%,QE-RE,0.105,2.126,9.441,3.833,0.955,0.076,0.961,0.080
0%,QE-FE,0.104,2.130,-1.422,0.049,0.945,0.073,0.954,0.076
25%,DiVE,-1.256,3.023,-0.733,6.932,0.931,0.084,0.940,0.087
25%,QE-RE,-1.294,3.046,1.082,5.646,0.934,0.084,0.947,0.088
25%,QE-FE,-1.327,3.055,-26.091,6.824,0.900,0.073,0.913,0.076
50%,DiVE,-0.295,4.190,0.757,7.027,0.943,0.103,0.951,0.108
50%,QE-RE,-0.289,4.196,0.840,6.994,0.945,0.103,0.954,0.108
50%,QE-FE,-0.261,4.216,-50.664,25.676,0.837,0.073,0.851,0.076
75%,DiVE,0.530,8.484,1.448,6.573,0.956,0.146,0.961,0.153
75%,QE-RE,0.537,8.474,1.620,6.705,0.954,0.146,0.960,0.153
75%,QE-FE,0.558,8.491,-75.370,56.809,0.673,0.073,0.692,0.076
