I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.450,0.237,0.545,8.776,0.931,0.625,0.942,0.652
0%,QE-RE,-0.542,0.241,7.763,5.465,0.948,0.650,0.953,0.679
0%,QE-FE,-0.664,0.240,-9.378,0.997,0.931,0.599,0.941,0.625
25%,DiVE,0.325,0.339,-3.928,9.250,0.920,0.725,0.937,0.757
25%,QE-RE,-0.484,0.338,-2.347,6.253,0.930,0.727,0.942,0.759
25%,QE-FE,-0.793,0.347,-35.912,12.964,0.866,0.599,0.882,0.625
50%,DiVE,0.598,0.493,-0.305,11.786,0.940,0.929,0.949,0.969
50%,QE-RE,0.002,0.467,-0.266,7.664,0.945,0.904,0.953,0.943
50%,QE-FE,-0.439,0.499,-59.547,35.501,0.792,0.600,0.813,0.626
75%,DiVE,-0.076,1.042,0.937,14.533,0.945,1.356,0.958,1.415
75%,QE-RE,-0.415,0.938,1.312,7.726,0.951,1.282,0.961,1.338
75%,QE-FE,-1.241,1.071,-80.891,65.450,0.602,0.599,0.622,0.625
