I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,1.634,0.218,3.429,14.535,0.926,2.117,0.935,2.209
0%,QE-RE,-3.027,0.281,15.186,8.929,0.899,2.258,0.914,2.356
0%,QE-FE,-3.320,0.299,-0.931,0.290,0.861,2.105,0.881,2.196
25%,DiVE,1.679,0.296,2.076,16.460,0.932,2.621,0.941,2.735
25%,QE-RE,-2.526,0.328,1.777,8.792,0.918,2.579,0.926,2.691
25%,QE-FE,-3.264,0.377,-36.540,13.567,0.811,2.103,0.831,2.195
50%,DiVE,1.436,0.521,3.069,20.890,0.928,3.441,0.937,3.590
50%,QE-RE,-1.758,0.453,-0.378,8.632,0.923,3.181,0.933,3.319
50%,QE-FE,-3.454,0.623,-62.870,39.667,0.704,2.107,0.724,2.199
75%,DiVE,1.546,1.091,-0.200,22.503,0.931,5.073,0.942,5.293
75%,QE-RE,-0.697,0.817,-0.633,8.244,0.943,4.454,0.950,4.647
75%,QE-FE,-3.280,1.202,-83.547,69.841,0.526,2.104,0.545,2.196
