I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,1.558,0.213,3.167,8.401,0.935,2.128,0.946,2.220
0%,QE-RE,-2.959,0.266,8.710,3.651,0.902,2.199,0.909,2.295
0%,QE-FE,-3.394,0.292,-0.237,0.278,0.874,2.112,0.881,2.204
25%,DiVE,1.796,0.284,2.083,7.550,0.925,2.445,0.938,2.552
25%,QE-RE,-1.871,0.277,0.687,5.667,0.911,2.435,0.925,2.541
25%,QE-FE,-3.100,0.350,-24.928,6.362,0.832,2.116,0.852,2.208
50%,DiVE,1.540,0.385,1.313,7.194,0.926,2.984,0.939,3.114
50%,QE-RE,-1.002,0.362,-0.099,7.194,0.934,2.963,0.946,3.092
50%,QE-FE,-3.360,0.485,-49.903,24.972,0.761,2.117,0.780,2.209
75%,DiVE,1.478,0.737,2.424,7.118,0.945,4.246,0.956,4.431
75%,QE-RE,0.160,0.708,1.795,7.256,0.953,4.232,0.957,4.416
75%,QE-FE,-3.575,0.866,-75.020,56.297,0.624,2.114,0.645,2.206
