I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.518,6.026,-0.744,32.388,0.919,0.211,0.949,0.244
0%,QE-RE,0.565,6.214,17.695,17.137,0.958,0.236,0.977,0.272
0%,QE-FE,0.599,6.159,-3.978,0.417,0.944,0.215,0.968,0.248
25%,DiVE,0.994,9.172,-0.608,31.859,0.908,0.251,0.945,0.289
25%,QE-RE,0.890,9.044,6.444,18.421,0.933,0.263,0.962,0.303
25%,QE-FE,0.864,9.270,-31.891,10.332,0.880,0.215,0.931,0.248
50%,DiVE,-0.911,14.544,-2.584,34.589,0.907,0.312,0.941,0.360
50%,QE-RE,-0.760,14.077,-2.467,19.252,0.918,0.308,0.947,0.356
50%,QE-FE,-0.989,14.661,-57.160,32.775,0.820,0.215,0.863,0.248
75%,DiVE,0.934,28.475,-3.837,43.822,0.917,0.446,0.952,0.515
75%,QE-RE,0.970,24.299,-2.706,24.779,0.936,0.431,0.966,0.498
75%,QE-FE,0.921,28.802,-79.575,63.360,0.646,0.215,0.711,0.249
