I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,2.004,0.578,3.641,27.125,0.917,3.614,0.949,4.171
0%,QE-RE,-1.853,0.566,17.744,12.462,0.950,3.947,0.975,4.556
0%,QE-FE,-2.581,0.617,0.996,0.870,0.928,3.678,0.959,4.245
25%,DiVE,1.898,0.737,2.436,23.708,0.916,4.161,0.953,4.803
25%,QE-RE,-1.334,0.700,6.568,14.930,0.944,4.307,0.966,4.971
25%,QE-FE,-2.687,0.777,-24.190,6.287,0.886,3.680,0.929,4.247
50%,DiVE,1.517,1.175,1.164,22.047,0.917,5.074,0.952,5.857
50%,QE-RE,-0.867,1.145,0.632,18.782,0.913,5.086,0.955,5.871
50%,QE-FE,-3.117,1.286,-49.815,25.030,0.793,3.667,0.844,4.232
75%,DiVE,1.659,2.378,1.329,24.357,0.912,7.165,0.953,8.270
75%,QE-RE,0.400,2.321,-0.217,23.325,0.912,7.116,0.952,8.213
75%,QE-FE,-2.951,2.463,-74.832,56.053,0.638,3.672,0.708,4.238
