I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.626,2.148,-1.670,6.613,0.934,0.125,0.943,0.130
0%,QE-RE,0.512,2.166,7.193,3.687,0.952,0.131,0.959,0.137
0%,QE-FE,0.480,2.175,-3.963,0.245,0.939,0.124,0.950,0.130
25%,DiVE,0.592,2.723,-0.870,6.965,0.931,0.145,0.946,0.151
25%,QE-RE,0.486,2.775,0.549,6.155,0.936,0.146,0.952,0.152
25%,QE-FE,0.425,2.812,-27.932,7.852,0.899,0.124,0.904,0.130
50%,DiVE,-0.410,4.366,-1.865,6.681,0.929,0.176,0.941,0.184
50%,QE-RE,-0.359,4.350,-1.293,6.788,0.926,0.177,0.944,0.184
50%,QE-FE,-0.316,4.396,-52.021,27.083,0.810,0.124,0.828,0.130
75%,DiVE,0.653,8.551,-0.415,7.022,0.940,0.251,0.949,0.262
75%,QE-RE,0.695,8.599,0.022,7.193,0.941,0.251,0.951,0.262
75%,QE-FE,0.782,8.917,-75.973,57.725,0.654,0.124,0.671,0.130
