I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,-0.308,2.151,-0.290,12.403,0.933,0.072,0.940,0.075
0%,QE-RE,-0.441,2.212,15.319,8.571,0.965,0.078,0.976,0.082
0%,QE-FE,-0.355,2.168,-1.492,0.051,0.951,0.073,0.964,0.076
25%,DiVE,-0.818,3.126,-0.437,15.340,0.929,0.090,0.939,0.094
25%,QE-RE,-0.501,3.129,1.688,8.124,0.933,0.089,0.944,0.093
25%,QE-FE,-0.726,3.151,-36.847,13.689,0.882,0.073,0.892,0.076
50%,DiVE,0.116,5.884,1.810,21.259,0.929,0.118,0.935,0.123
50%,QE-RE,-0.302,4.867,0.388,7.994,0.948,0.111,0.954,0.115
50%,QE-FE,0.035,5.850,-63.144,39.971,0.770,0.073,0.791,0.076
75%,DiVE,0.160,12.507,-0.564,22.380,0.938,0.175,0.951,0.183
75%,QE-RE,0.706,9.748,-1.584,7.711,0.938,0.154,0.947,0.160
75%,QE-FE,0.211,12.484,-83.630,69.972,0.565,0.073,0.584,0.076
