I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,-0.014,0.079,-0.519,7.275,0.931,0.359,0.942,0.375
0%,QE-RE,-0.391,0.081,6.975,4.214,0.945,0.375,0.956,0.391
0%,QE-FE,-0.451,0.081,-6.387,0.447,0.932,0.352,0.941,0.367
25%,DiVE,0.106,0.101,0.440,7.162,0.941,0.417,0.949,0.435
25%,QE-RE,-0.208,0.101,1.203,6.289,0.945,0.419,0.955,0.437
25%,QE-FE,-0.349,0.103,-29.838,8.925,0.900,0.352,0.913,0.367
50%,DiVE,0.014,0.159,-0.543,6.523,0.933,0.508,0.946,0.531
50%,QE-RE,-0.178,0.159,-0.542,6.654,0.929,0.508,0.941,0.530
50%,QE-FE,-0.389,0.160,-53.221,28.334,0.800,0.352,0.819,0.367
75%,DiVE,0.216,0.294,-0.946,6.426,0.948,0.718,0.957,0.749
75%,QE-RE,0.121,0.294,-0.810,6.495,0.950,0.718,0.956,0.749
75%,QE-FE,-0.183,0.298,-76.592,58.666,0.676,0.352,0.702,0.367
