I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.031,0.229,-0.397,21.583,0.910,0.612,0.949,0.706
0%,QE-RE,-0.303,0.229,13.852,13.121,0.947,0.666,0.976,0.768
0%,QE-FE,-0.389,0.230,-6.385,0.516,0.934,0.609,0.967,0.703
25%,DiVE,0.217,0.303,-1.890,21.040,0.922,0.701,0.944,0.809
25%,QE-RE,-0.036,0.301,3.574,15.949,0.935,0.728,0.960,0.841
25%,QE-FE,-0.171,0.303,-29.655,8.859,0.895,0.610,0.936,0.704
50%,DiVE,0.233,0.432,-1.812,21.338,0.910,0.858,0.943,0.990
50%,QE-RE,0.043,0.436,-0.572,19.654,0.917,0.867,0.953,1.001
50%,QE-FE,-0.155,0.443,-53.199,28.330,0.821,0.609,0.878,0.703
75%,DiVE,0.730,0.969,0.440,21.411,0.912,1.229,0.958,1.418
75%,QE-RE,0.641,0.967,0.818,21.761,0.917,1.231,0.956,1.421
75%,QE-FE,0.361,0.972,-76.561,58.623,0.643,0.609,0.700,0.703
