I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,4.186,1.988,5.344,44.041,0.886,6.230,0.923,7.190
0%,QE-RE,-6.314,2.135,14.362,17.790,0.902,6.706,0.937,7.740
0%,QE-FE,-8.239,2.461,-6.320,2.616,0.850,6.123,0.902,7.067
25%,DiVE,3.773,2.520,6.734,43.136,0.915,7.479,0.944,8.632
25%,QE-RE,-5.414,2.573,3.186,19.802,0.909,7.448,0.946,8.596
25%,QE-FE,-8.958,3.265,-33.623,12.455,0.794,6.121,0.859,7.064
50%,DiVE,4.453,3.853,0.608,38.437,0.911,9.132,0.946,10.540
50%,QE-RE,-2.596,3.580,-3.883,20.736,0.927,8.824,0.948,10.185
50%,QE-FE,-7.940,4.539,-58.145,34.239,0.746,6.127,0.796,7.071
75%,DiVE,4.371,7.477,-0.811,47.522,0.910,13.066,0.946,15.081
75%,QE-RE,0.278,6.341,-1.281,27.727,0.923,12.515,0.952,14.445
75%,QE-FE,-8.808,9.114,-80.087,64.259,0.590,6.126,0.658,7.071
