I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.625,0.676,-2.265,20.552,0.913,1.050,0.943,1.211
0%,QE-RE,-0.148,0.683,11.517,12.697,0.955,1.141,0.975,1.317
0%,QE-FE,-0.356,0.689,-8.830,1.095,0.939,1.041,0.965,1.201
25%,DiVE,-0.204,0.862,-0.721,22.763,0.929,1.219,0.960,1.407
25%,QE-RE,-0.909,0.873,4.550,18.309,0.951,1.265,0.967,1.460
25%,QE-FE,-1.278,0.899,-31.869,10.338,0.895,1.039,0.931,1.199
50%,DiVE,0.087,1.378,-2.753,20.344,0.919,1.480,0.943,1.709
50%,QE-RE,-0.435,1.377,-1.391,20.028,0.919,1.495,0.950,1.726
50%,QE-FE,-1.048,1.417,-54.475,29.760,0.807,1.040,0.860,1.200
75%,DiVE,-0.303,2.742,4.346,23.468,0.921,2.168,0.953,2.502
75%,QE-RE,-0.539,2.741,4.746,23.954,0.923,2.172,0.954,2.507
75%,QE-FE,-1.369,2.835,-77.203,59.624,0.637,1.041,0.720,1.201
