I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,-0.103,0.241,2.983,52.278,0.898,0.606,0.938,0.700
0%,QE-RE,-0.341,0.252,25.505,28.466,0.950,0.695,0.979,0.802
0%,QE-FE,-0.480,0.246,-6.497,0.541,0.935,0.609,0.966,0.702
25%,DiVE,0.060,0.363,-1.747,46.220,0.878,0.734,0.912,0.848
25%,QE-RE,-0.300,0.365,7.101,24.261,0.924,0.778,0.957,0.899
25%,QE-FE,-0.334,0.362,-39.647,15.950,0.869,0.609,0.924,0.703
50%,DiVE,0.471,0.619,-2.238,63.608,0.874,0.952,0.914,1.098
50%,QE-RE,0.243,0.545,-0.579,24.829,0.914,0.936,0.943,1.080
50%,QE-FE,0.137,0.621,-64.600,41.950,0.739,0.609,0.808,0.703
75%,DiVE,0.420,1.389,1.390,67.901,0.887,1.447,0.924,1.670
75%,QE-RE,0.342,1.039,0.702,25.827,0.923,1.322,0.955,1.525
75%,QE-FE,0.020,1.377,-83.987,70.608,0.572,0.609,0.639,0.702
