I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,4.844,2.014,8.260,38.496,0.912,6.365,0.945,7.347
0%,QE-RE,-5.750,1.996,12.828,13.700,0.916,6.674,0.957,7.703
0%,QE-FE,-7.924,2.351,-5.808,2.505,0.862,6.140,0.924,7.087
25%,DiVE,4.844,2.561,6.414,33.474,0.909,7.302,0.944,8.428
25%,QE-RE,-4.174,2.386,3.573,18.090,0.914,7.326,0.944,8.456
25%,QE-FE,-7.969,3.038,-29.442,9.873,0.813,6.136,0.870,7.082
50%,DiVE,4.209,3.582,5.675,25.434,0.914,8.973,0.942,10.357
50%,QE-RE,-2.227,3.371,2.754,25.035,0.920,8.857,0.946,10.223
50%,QE-FE,-8.689,4.439,-53.208,28.828,0.736,6.121,0.800,7.064
75%,DiVE,4.212,6.690,1.544,25.322,0.923,12.409,0.954,14.322
75%,QE-RE,0.636,6.479,0.455,25.754,0.920,12.334,0.953,14.236
75%,QE-FE,-8.660,8.328,-76.454,58.599,0.600,6.138,0.663,7.085
