I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,-1.171,6.046,-1.934,23.865,0.927,0.122,0.957,0.141
0%,QE-RE,-1.302,6.078,17.458,14.323,0.964,0.136,0.986,0.157
0%,QE-FE,-1.306,6.083,-1.303,0.103,0.954,0.126,0.979,0.145
25%,DiVE,-1.447,8.495,-1.710,19.631,0.922,0.141,0.949,0.163
25%,QE-RE,-1.522,8.525,5.386,14.026,0.945,0.148,0.972,0.171
25%,QE-FE,-1.576,8.540,-25.926,6.772,0.921,0.126,0.951,0.145
50%,DiVE,-0.346,13.145,-2.178,19.813,0.922,0.173,0.951,0.200
50%,QE-RE,-0.267,13.215,-0.738,18.188,0.920,0.175,0.957,0.202
50%,QE-FE,-0.209,13.354,-50.660,25.685,0.823,0.126,0.888,0.145
75%,DiVE,-0.314,26.936,0.341,22.949,0.912,0.247,0.950,0.285
75%,QE-RE,-0.289,26.960,0.433,22.934,0.914,0.247,0.950,0.285
75%,QE-FE,-0.336,27.168,-75.365,56.804,0.650,0.126,0.723,0.145
