I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.278,0.686,-1.736,28.554,0.909,1.044,0.940,1.205
0%,QE-RE,-0.604,0.717,14.792,16.794,0.948,1.155,0.982,1.333
0%,QE-FE,-0.828,0.704,-9.369,1.211,0.930,1.038,0.965,1.198
25%,DiVE,-0.085,1.013,-0.391,36.042,0.890,1.242,0.926,1.434
25%,QE-RE,-0.784,1.032,5.529,21.309,0.927,1.294,0.953,1.494
25%,QE-FE,-1.150,1.031,-35.759,12.997,0.873,1.038,0.916,1.198
50%,DiVE,0.993,1.542,-0.444,41.421,0.905,1.553,0.932,1.793
50%,QE-RE,0.477,1.507,-0.941,22.315,0.908,1.538,0.938,1.775
50%,QE-FE,-0.035,1.570,-59.086,35.033,0.774,1.040,0.833,1.201
75%,DiVE,0.366,3.151,2.266,46.853,0.908,2.281,0.940,2.633
75%,QE-RE,0.212,2.912,1.710,25.511,0.916,2.190,0.950,2.528
75%,QE-FE,-0.538,3.210,-80.582,64.974,0.628,1.040,0.707,1.200
