I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.174,0.079,1.610,13.520,0.925,0.361,0.935,0.377
0%,QE-RE,-0.222,0.082,14.582,9.480,0.956,0.387,0.964,0.403
0%,QE-FE,-0.253,0.080,-6.587,0.470,0.941,0.351,0.948,0.367
25%,DiVE,0.114,0.119,0.755,15.470,0.936,0.448,0.948,0.467
25%,QE-RE,-0.244,0.117,1.800,8.225,0.937,0.443,0.949,0.463
25%,QE-FE,-0.328,0.121,-40.060,16.147,0.859,0.351,0.882,0.367
50%,DiVE,0.042,0.202,-2.155,21.819,0.919,0.574,0.927,0.599
50%,QE-RE,-0.221,0.173,-2.013,8.055,0.936,0.542,0.943,0.566
50%,QE-FE,-0.380,0.203,-64.940,42.261,0.774,0.351,0.793,0.367
75%,DiVE,0.218,0.448,0.455,24.271,0.941,0.873,0.950,0.911
75%,QE-RE,0.096,0.350,-1.117,8.171,0.941,0.763,0.959,0.796
75%,QE-FE,-0.137,0.450,-84.441,71.333,0.550,0.352,0.569,0.367
