I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,1.751,0.588,2.380,53.141,0.896,3.514,0.928,4.055
0%,QE-RE,-2.243,0.613,25.105,26.552,0.951,4.046,0.971,4.670
0%,QE-FE,-2.728,0.625,-0.270,0.833,0.930,3.655,0.955,4.218
25%,DiVE,1.118,0.814,2.130,64.002,0.899,4.331,0.925,4.999
25%,QE-RE,-2.408,0.847,4.812,23.230,0.938,4.484,0.958,5.175
25%,QE-FE,-3.373,0.928,-35.927,13.474,0.858,3.648,0.908,4.210
50%,DiVE,1.614,1.526,4.757,71.479,0.878,5.712,0.927,6.593
50%,QE-RE,-1.029,1.361,0.621,26.873,0.918,5.460,0.946,6.302
50%,QE-FE,-2.806,1.623,-62.013,38.772,0.751,3.661,0.811,4.225
75%,DiVE,1.915,3.259,3.225,77.568,0.880,8.479,0.912,9.786
75%,QE-RE,-0.400,2.599,1.467,29.088,0.899,7.713,0.943,8.902
75%,QE-FE,-2.683,3.375,-83.097,69.160,0.548,3.656,0.620,4.219
