I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,4.098,0.761,7.380,11.663,0.912,3.752,0.929,3.915
0%,QE-RE,-8.273,1.261,2.334,3.141,0.779,3.694,0.797,3.854
0%,QE-FE,-9.622,1.525,-7.913,1.310,0.692,3.512,0.720,3.665
25%,DiVE,4.246,0.897,4.750,9.861,0.926,4.284,0.935,4.471
25%,QE-RE,-5.825,1.032,-3.075,6.629,0.882,4.131,0.896,4.311
25%,QE-FE,-9.255,1.615,-30.555,9.698,0.696,3.522,0.711,3.675
50%,DiVE,5.007,1.421,3.122,8.716,0.907,5.209,0.924,5.435
50%,QE-RE,-2.010,1.154,-0.243,8.393,0.924,5.121,0.933,5.344
50%,QE-FE,-8.839,1.996,-53.691,29.002,0.657,3.522,0.675,3.676
75%,DiVE,4.266,2.333,1.664,7.648,0.935,7.319,0.950,7.638
75%,QE-RE,0.511,2.141,1.090,8.714,0.946,7.290,0.955,7.607
75%,QE-FE,-9.489,3.496,-76.842,59.091,0.545,3.523,0.559,3.676
