I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,0.310,0.206,-1.203,6.501,0.954,0.621,0.962,0.648
0%,QE-RE,-0.668,0.209,5.008,3.936,0.959,0.643,0.972,0.671
0%,QE-FE,-0.830,0.211,-9.203,0.963,0.942,0.600,0.953,0.626
25%,DiVE,0.274,0.306,-1.712,6.516,0.942,0.715,0.953,0.746
25%,QE-RE,-0.474,0.311,-1.062,6.088,0.938,0.718,0.942,0.749
25%,QE-FE,-0.825,0.321,-31.949,10.267,0.880,0.600,0.893,0.626
50%,DiVE,0.487,0.455,-1.656,7.167,0.947,0.875,0.953,0.913
50%,QE-RE,-0.031,0.451,-1.360,7.375,0.947,0.876,0.953,0.914
50%,QE-FE,-0.627,0.465,-54.588,29.825,0.807,0.600,0.827,0.626
75%,DiVE,0.951,0.922,-0.497,6.351,0.931,1.246,0.942,1.300
75%,QE-RE,0.701,0.922,-0.123,6.455,0.933,1.248,0.940,1.303
75%,QE-FE,-0.080,0.951,-77.295,59.752,0.631,0.600,0.648,0.626
