I2,Method,Point %Bias,Point %MSE,Variance %Bias,Variance %MSE,z-based CP,z-based AW,t-based CP,t-based AW
0%,DiVE,-0.978,6.501,-1.218,23.547,0.904,0.212,0.937,0.245
0%,QE-RE,-1.074,6.571,15.906,14.183,0.951,0.234,0.980,0.271
0%,QE-FE,-1.075,6.616,-3.837,0.375,0.937,0.215,0.974,0.249
25%,DiVE,-0.167,8.989,0.080,23.919,0.903,0.246,0.937,0.284
25%,QE-RE,-0.098,8.982,7.020,19.166,0.931,0.258,0.965,0.298
25%,QE-FE,0.005,9.062,-27.837,7.891,0.892,0.215,0.941,0.249
50%,DiVE,0.408,12.765,1.067,21.350,0.918,0.304,0.951,0.351
50%,QE-RE,0.287,12.742,2.474,20.801,0.925,0.307,0.959,0.355
50%,QE-FE,0.205,12.866,-51.957,27.060,0.829,0.215,0.876,0.248
75%,DiVE,1.680,25.468,-1.572,22.432,0.923,0.424,0.956,0.489
75%,QE-RE,1.612,25.522,-1.304,22.920,0.923,0.424,0.956,0.490
75%,QE-FE,1.669,26.251,-75.982,57.750,0.664,0.215,0.721,0.248
