study_id,mean_g1,median_g1,n_g1,mean_g2,median_g2,n_g2
Ates2006,134,NA,28,70,NA,30
Coelho2001,148.9,NA,20,84.14,NA,22
Frokjaer2006,139,NA,11,72,NA,14
Ko2013,42.9,NA,55,22.8,NA,24
Lazzeri1997,57.99,NA,12,36.55,NA,12
Mani2009,36.9,NA,11,14.4,NA,16
Milovanovic2009,463.15,NA,19,93.42,NA,25
Negru2015,129.6,NA,30,101.88,NA,52
