study_id,mean_g1,median_g1,n_g1,mean_g2,median_g2,n_g2
Ates2006,70,NA,30,134,NA,28
Coelho2001,84.14,NA,22,148.9,NA,20
Frokjaer2006,NA,89,14,NA,126,11
Ko2013,22.8,NA,24,42.9,NA,55
Lazzeri1997,36.55,NA,12,57.99,NA,12
Mani2009,14.4,NA,16,36.9,NA,11
Milovanovic2009,93.42,NA,25,463.15,NA,19
Negru2015,101.88,NA,52,129.6,NA,30
Nagasako2009_ChildA,NA,83,13,NA,79,21
Nagasako2009_ChildB,NA,56,19,NA,79,21
