study_id,mean_g1,median_g1,n_g1,mean_g2,median_g2,n_g2
Maertens2017,8.39,NA,9,5.33,NA,10
Nilsson2017,5.05,NA,11,5.19,NA,12
Waterman2016,5.35,NA,12,4.99,NA,10
Patel2016,6.23,NA,11,5.3,NA,11
Peltan2012,5.73,NA,27,5.28,NA,24
Carlsen2015,6.32,NA,9,4.85,NA,7
Zendeja2011,6.96,NA,26,5.61,NA,24
